Year,Month,Member State,Product,Begin Date,End Date,Price(€/100kg)
2022,Apr,Denmark,Raw milk,01/04/2022,30/04/2022,46.78
2022,Apr,Germany,Organic raw milk,01/04/2022,30/04/2022,54.62
2022,Apr,Germany,Raw milk,01/04/2022,30/04/2022,49.69
2022,Apr,Estonia,Organic raw milk,01/04/2022,30/04/2022,41.64
2022,Apr,Estonia,Raw milk,01/04/2022,30/04/2022,42.64
2022,Apr,Ireland,Raw milk,01/04/2022,30/04/2022,51.28
2022,Apr,Greece,Organic raw milk,01/04/2022,30/04/2022,56.32
2022,Apr,Greece,Raw milk,01/04/2022,30/04/2022,47.95
2022,Apr,Spain,Organic raw milk,01/04/2022,30/04/2022,46.6
2022,Apr,Spain,Raw milk,01/04/2022,30/04/2022,40.68
2022,Apr,France,Organic raw milk,01/04/2022,30/04/2022,40.69
2022,Apr,France,Raw milk,01/04/2022,30/04/2022,42.58
2022,Apr,Croatia,Raw milk,01/04/2022,30/04/2022,38.93
2022,Apr,Italy,Organic raw milk,01/04/2022,30/04/2022,55.59
2022,Apr,Italy,Raw milk,01/04/2022,30/04/2022,45.93
2022,Apr,Cyprus,Organic raw milk,01/04/2022,30/04/2022,104.73
2022,Apr,Cyprus,Raw milk,01/04/2022,30/04/2022,57.52
2022,Apr,Latvia,Organic raw milk,01/04/2022,30/04/2022,42.88
2022,Apr,Latvia,Raw milk,01/04/2022,30/04/2022,45.21
2022,Apr,Lithuania,Organic raw milk,01/04/2022,30/04/2022,52.93
2022,Apr,Lithuania,Raw milk,01/04/2022,30/04/2022,51.04
2022,Apr,Hungary,Raw milk,01/04/2022,30/04/2022,38.89
2022,Apr,Malta,Raw milk,01/04/2022,30/04/2022,62.51
2022,Apr,Netherlands,Organic raw milk,01/04/2022,30/04/2022,57.5
2022,Apr,Netherlands,Raw milk,01/04/2022,30/04/2022,48.5
2022,Apr,Austria,Organic raw milk,01/04/2022,30/04/2022,54.02
2022,Apr,Austria,Raw milk,01/04/2022,30/04/2022,45.96
2022,Apr,Poland,Organic raw milk,01/04/2022,30/04/2022,53.19
2022,Apr,Poland,Raw milk,01/04/2022,30/04/2022,45.17
2022,Apr,Portugal,Organic raw milk,01/04/2022,30/04/2022,53.31
2022,Apr,Portugal,Raw milk,01/04/2022,30/04/2022,37.85
2022,Apr,Romania,Raw milk,01/04/2022,30/04/2022,42.41
2022,Apr,Slovenia,Organic raw milk,01/04/2022,30/04/2022,49.81
2022,Apr,Slovenia,Raw milk,01/04/2022,30/04/2022,40.63
2022,Apr,Slovakia,Organic raw milk,01/04/2022,30/04/2022,42.04
2022,Apr,Slovakia,Raw milk,01/04/2022,30/04/2022,39.64
2022,Apr,Finland,Raw milk,01/04/2022,30/04/2022,46.01
2022,Apr,Sweden,Organic raw milk,01/04/2022,30/04/2022,50.23
2022,Apr,Sweden,Raw milk,01/04/2022,30/04/2022,45.97
2022,May,European Union,Raw milk,01/05/2022,31/05/2022,47.990353
2022,May,Belgium,Organic raw milk,01/05/2022,31/05/2022,51.4
2022,May,Belgium,Raw milk,01/05/2022,31/05/2022,51.56
2022,May,Bulgaria,Organic raw milk,01/05/2022,31/05/2022,52.11
2022,May,Bulgaria,Raw milk,01/05/2022,31/05/2022,40.14
2022,May,Czechia,Organic raw milk,01/05/2022,31/05/2022,48.63
2022,May,Czechia,Raw milk,01/05/2022,31/05/2022,43.48
2022,May,Denmark,Organic raw milk,01/05/2022,31/05/2022,57.25
2022,May,Denmark,Raw milk,01/05/2022,31/05/2022,50.67
2022,May,Germany,Organic raw milk,01/05/2022,31/05/2022,55.53
2022,May,Germany,Raw milk,01/05/2022,31/05/2022,51.73
2022,May,Estonia,Organic raw milk,01/05/2022,31/05/2022,44.86
2022,May,Estonia,Raw milk,01/05/2022,31/05/2022,43.88
2022,May,Ireland,Raw milk,01/05/2022,31/05/2022,53.61
2022,May,Greece,Organic raw milk,01/05/2022,31/05/2022,56.65
2022,May,Greece,Raw milk,01/05/2022,31/05/2022,49.6
2022,May,Spain,Organic raw milk,01/05/2022,31/05/2022,50.29
2022,May,Spain,Raw milk,01/05/2022,31/05/2022,41.84
2022,May,France,Organic raw milk,01/05/2022,31/05/2022,40.76
2022,May,France,Raw milk,01/05/2022,31/05/2022,43.12
2022,May,Croatia,Raw milk,01/05/2022,31/05/2022,39.81
2022,May,Italy,Organic raw milk,01/05/2022,31/05/2022,55.59
2022,May,Italy,Raw milk,01/05/2022,31/05/2022,47.17
2022,May,Cyprus,Organic raw milk,01/05/2022,31/05/2022,104.43
2022,May,Cyprus,Raw milk,01/05/2022,31/05/2022,57.52
2022,May,Latvia,Organic raw milk,01/05/2022,31/05/2022,44.67
2022,May,Latvia,Raw milk,01/05/2022,31/05/2022,47.26
2022,May,Lithuania,Organic raw milk,01/05/2022,31/05/2022,55.49
2022,May,Lithuania,Raw milk,01/05/2022,31/05/2022,52.72
2022,May,Hungary,Raw milk,01/05/2022,31/05/2022,39.68
2022,May,Malta,Raw milk,01/05/2022,31/05/2022,61.97
2022,May,Netherlands,Organic raw milk,01/05/2022,31/05/2022,60
2022,May,Netherlands,Raw milk,01/05/2022,31/05/2022,52.5
2022,May,Austria,Organic raw milk,01/05/2022,31/05/2022,55.54
2022,May,Austria,Raw milk,01/05/2022,31/05/2022,47.54
2022,May,Poland,Organic raw milk,01/05/2022,31/05/2022,54.41
2022,May,Poland,Raw milk,01/05/2022,31/05/2022,46.49
2022,May,Portugal,Organic raw milk,01/05/2022,31/05/2022,54.56
2022,May,Portugal,Raw milk,01/05/2022,31/05/2022,38.22
2022,May,Romania,Raw milk,01/05/2022,31/05/2022,42.4
2022,May,Slovenia,Organic raw milk,01/05/2022,31/05/2022,52.21
2022,May,Slovenia,Raw milk,01/05/2022,31/05/2022,42.14
2022,May,Slovakia,Organic raw milk,01/05/2022,31/05/2022,43.08
2022,May,Slovakia,Raw milk,01/05/2022,31/05/2022,40.38
2022,May,Finland,Raw milk,01/05/2022,31/05/2022,46.99
2022,May,Sweden,Organic raw milk,01/05/2022,31/05/2022,52.18
2022,May,Sweden,Raw milk,01/05/2022,31/05/2022,47.7
2022,Jun,European Union,Raw milk,01/06/2022,30/06/2022,49.403167
2022,Jun,Belgium,Organic raw milk,01/06/2022,30/06/2022,53.61
2022,Jun,Belgium,Raw milk,01/06/2022,30/06/2022,54.86
2022,Jun,Bulgaria,Organic raw milk,01/06/2022,30/06/2022,52.29
2022,Jun,Bulgaria,Raw milk,01/06/2022,30/06/2022,40.82
2022,Jun,Czechia,Organic raw milk,01/06/2022,30/06/2022,48.45
2022,Jun,Czechia,Raw milk,01/06/2022,30/06/2022,44.46
2022,Jun,Denmark,Organic raw milk,01/06/2022,30/06/2022,62.24
2022,Jun,Denmark,Raw milk,01/06/2022,30/06/2022,55.65
2022,Jun,Germany,Organic raw milk,01/06/2022,30/06/2022,55.53
2022,Jun,Germany,Raw milk,01/06/2022,30/06/2022,51.73
2022,Jun,Estonia,Organic raw milk,01/06/2022,30/06/2022,46.91
2022,Jun,Estonia,Raw milk,01/06/2022,30/06/2022,45.78
2022,Jun,Ireland,Raw milk,01/06/2022,30/06/2022,55.45
2022,Jun,Greece,Organic raw milk,01/06/2022,30/06/2022,57.99
2022,Jun,Greece,Raw milk,01/06/2022,30/06/2022,51.9
2022,Jun,Spain,Organic raw milk,01/06/2022,30/06/2022,50.49
2022,Jun,Spain,Raw milk,01/06/2022,30/06/2022,42.52
2022,Jun,France,Organic raw milk,01/06/2022,30/06/2022,42.42
2022,Jun,France,Raw milk,01/06/2022,30/06/2022,43.84
2022,Jun,Croatia,Raw milk,01/06/2022,30/06/2022,41.09
2022,Jun,Italy,Organic raw milk,01/06/2022,30/06/2022,56.82
2022,Jun,Italy,Raw milk,01/06/2022,30/06/2022,48.19
2022,Jun,Cyprus,Organic raw milk,01/06/2022,30/06/2022,103.7
2022,Jun,Cyprus,Raw milk,01/06/2022,30/06/2022,57.04
2022,Jun,Latvia,Organic raw milk,01/06/2022,30/06/2022,46.12
2022,Jun,Latvia,Raw milk,01/06/2022,30/06/2022,48.6
2022,Jun,Lithuania,Organic raw milk,01/06/2022,30/06/2022,55.89
2022,Jun,Lithuania,Raw milk,01/06/2022,30/06/2022,51.88
2022,Jun,Hungary,Raw milk,01/06/2022,30/06/2022,40.42
2022,Jun,Malta,Raw milk,01/06/2022,30/06/2022,61.9
2022,Jun,Netherlands,Organic raw milk,01/06/2022,30/06/2022,62.75
2022,Jun,Netherlands,Raw milk,01/06/2022,30/06/2022,56.5
2022,Jun,Austria,Organic raw milk,01/06/2022,30/06/2022,55.83
2022,Jun,Austria,Raw milk,01/06/2022,30/06/2022,47.97
2022,Jun,Poland,Organic raw milk,01/06/2022,30/06/2022,57.62
2022,Jun,Poland,Raw milk,01/06/2022,30/06/2022,49.24
2022,Jun,Portugal,Organic raw milk,01/06/2022,30/06/2022,54.54
2022,Jun,Portugal,Raw milk,01/06/2022,30/06/2022,38.19
2022,Jun,Romania,Raw milk,01/06/2022,30/06/2022,44.58
2022,Jun,Slovenia,Organic raw milk,01/06/2022,30/06/2022,53.01
2022,Jun,Slovenia,Raw milk,01/06/2022,30/06/2022,43.92
2022,Jun,Slovakia,Organic raw milk,01/06/2022,30/06/2022,43.72
2022,Jun,Slovakia,Raw milk,01/06/2022,30/06/2022,41.86
2022,Jun,Finland,Raw milk,01/06/2022,30/06/2022,47.39
2022,Jun,Sweden,Organic raw milk,01/06/2022,30/06/2022,54.2
2022,Jun,Sweden,Raw milk,01/06/2022,30/06/2022,49.77
2022,Jul,European Union,Raw milk,01/07/2022,31/07/2022,51.082794
2022,Jul,Belgium,Organic raw milk,01/07/2022,31/07/2022,54.07
2022,Jul,Belgium,Raw milk,01/07/2022,31/07/2022,55.5
2022,Jul,Bulgaria,Organic raw milk,01/07/2022,31/07/2022,52.73
2022,Jul,Bulgaria,Raw milk,01/07/2022,31/07/2022,42.12
2022,Jul,Czechia,Organic raw milk,01/07/2022,31/07/2022,49.58
2022,Jul,Czechia,Raw milk,01/07/2022,31/07/2022,45.99
2022,Jul,Denmark,Organic raw milk,01/07/2022,31/07/2022,64.36
2022,Jul,Denmark,Raw milk,01/07/2022,31/07/2022,57.78
2022,Jul,Germany,Organic raw milk,01/07/2022,31/07/2022,56.82
2022,Jul,Germany,Raw milk,01/07/2022,31/07/2022,54.4
2022,Jul,Estonia,Organic raw milk,01/07/2022,31/07/2022,47.27
2022,Jul,Estonia,Raw milk,01/07/2022,31/07/2022,46.74
2022,Jul,Ireland,Raw milk,01/07/2022,31/07/2022,57.78
2022,Jul,Greece,Organic raw milk,01/07/2022,31/07/2022,59.68
2022,Jul,Greece,Raw milk,01/07/2022,31/07/2022,54.43
2022,Jul,Spain,Organic raw milk,01/07/2022,31/07/2022,50.78
2022,Jul,Spain,Raw milk,01/07/2022,31/07/2022,44.95
2022,Jul,France,Organic raw milk,01/07/2022,31/07/2022,46.16
2022,Jul,France,Raw milk,01/07/2022,31/07/2022,44.12
2022,Jul,Croatia,Raw milk,01/07/2022,31/07/2022,41.18
2022,Jul,Italy,Organic raw milk,01/07/2022,31/07/2022,56.82
2022,Jul,Italy,Raw milk,01/07/2022,31/07/2022,48.19
2022,Jul,Cyprus,Organic raw milk,01/07/2022,31/07/2022,101.52
2022,Jul,Cyprus,Raw milk,01/07/2022,31/07/2022,57.26
2022,Jul,Latvia,Organic raw milk,01/07/2022,31/07/2022,47.3
2022,Jul,Latvia,Raw milk,01/07/2022,31/07/2022,49.61
2022,Jul,Lithuania,Organic raw milk,01/07/2022,31/07/2022,55.82
2022,Jul,Lithuania,Raw milk,01/07/2022,31/07/2022,51.24
2022,Jul,Hungary,Raw milk,01/07/2022,31/07/2022,42.42
2022,Jul,Malta,Raw milk,01/07/2022,31/07/2022,61.68
2022,Jul,Netherlands,Organic raw milk,01/07/2022,31/07/2022,62.88
2022,Jul,Netherlands,Raw milk,01/07/2022,31/07/2022,60
2022,Jul,Austria,Organic raw milk,01/07/2022,31/07/2022,58.66
2022,Jul,Austria,Raw milk,01/07/2022,31/07/2022,51.11
2022,Jul,Poland,Organic raw milk,01/07/2022,31/07/2022,57.48
2022,Jul,Poland,Raw milk,01/07/2022,31/07/2022,49.5
2022,Jul,Portugal,Organic raw milk,01/07/2022,31/07/2022,55.42
2022,Jul,Portugal,Raw milk,01/07/2022,31/07/2022,40.14
2022,Jul,Romania,Raw milk,01/07/2022,31/07/2022,49.1
2022,Jul,Slovenia,Organic raw milk,01/07/2022,31/07/2022,53.62
2022,Jul,Slovenia,Raw milk,01/07/2022,31/07/2022,45.72
2022,Jul,Slovakia,Organic raw milk,01/07/2022,31/07/2022,45.24
2022,Jul,Slovakia,Raw milk,01/07/2022,31/07/2022,43.6
2022,Jul,Finland,Raw milk,01/07/2022,31/07/2022,49.26
2022,Jul,Sweden,Organic raw milk,01/07/2022,31/07/2022,56.4
2022,Jul,Sweden,Raw milk,01/07/2022,31/07/2022,52.24
2022,Aug,European Union,Raw milk,01/08/2022,31/08/2022,52.37469547
2022,Aug,Belgium,Organic raw milk,01/08/2022,31/08/2022,55.33
2022,Aug,Belgium,Raw milk,01/08/2022,31/08/2022,56.22
2022,Aug,Bulgaria,Organic raw milk,01/08/2022,31/08/2022,53.27
2022,Aug,Bulgaria,Raw milk,01/08/2022,31/08/2022,43.32
2022,Aug,Czechia,Organic raw milk,01/08/2022,31/08/2022,49.94
2022,Aug,Czechia,Raw milk,01/08/2022,31/08/2022,47.1
2022,Aug,Denmark,Organic raw milk,01/08/2022,31/08/2022,65.33
2022,Aug,Denmark,Raw milk,01/08/2022,31/08/2022,58.88
2022,Aug,Germany,Organic raw milk,01/08/2022,31/08/2022,58.21
2022,Aug,Germany,Raw milk,01/08/2022,31/08/2022,56.19
2022,Aug,Estonia,Organic raw milk,01/08/2022,31/08/2022,48.51
2022,Aug,Estonia,Raw milk,01/08/2022,31/08/2022,48.02
2022,Aug,Ireland,Raw milk,01/08/2022,31/08/2022,59.73
2022,Aug,Greece,Organic raw milk,01/08/2022,31/08/2022,61.92
2022,Aug,Greece,Raw milk,01/08/2022,31/08/2022,56.09
2022,Aug,Spain,Organic raw milk,01/08/2022,31/08/2022,51.36
2022,Aug,Spain,Raw milk,01/08/2022,31/08/2022,46.21
2022,Aug,France,Organic raw milk,01/08/2022,31/08/2022,49.51
2022,Aug,France,Raw milk,01/08/2022,31/08/2022,44.85
2022,Aug,Croatia,Raw milk,01/08/2022,31/08/2022,43.22
2022,Aug,Italy,Organic raw milk,01/08/2022,31/08/2022,60.9
2022,Aug,Italy,Raw milk,01/08/2022,31/08/2022,50.98
2022,Aug,Cyprus,Organic raw milk,01/08/2022,31/08/2022,100.49
2022,Aug,Cyprus,Raw milk,01/08/2022,31/08/2022,62.09
2022,Aug,Latvia,Organic raw milk,01/08/2022,31/08/2022,47.9
2022,Aug,Latvia,Raw milk,01/08/2022,31/08/2022,49.77
2022,Aug,Lithuania,Organic raw milk,01/08/2022,31/08/2022,56.15
2022,Aug,Lithuania,Raw milk,01/08/2022,31/08/2022,51.23
2022,Aug,Hungary,Raw milk,01/08/2022,31/08/2022,45.22
2022,Aug,Malta,Raw milk,01/08/2022,31/08/2022,61.9
2022,Aug,Netherlands,Organic raw milk,01/08/2022,31/08/2022,64.38
2022,Aug,Netherlands,Raw milk,01/08/2022,31/08/2022,60
2022,Aug,Austria,Organic raw milk,01/08/2022,31/08/2022,59.4
2022,Aug,Austria,Raw milk,01/08/2022,31/08/2022,52.37
2022,Aug,Poland,Organic raw milk,01/08/2022,31/08/2022,57.49
2022,Aug,Poland,Raw milk,01/08/2022,31/08/2022,50.88
2022,Aug,Portugal,Organic raw milk,01/08/2022,31/08/2022,56.03
2022,Aug,Portugal,Raw milk,01/08/2022,31/08/2022,40.49
2022,Aug,Romania,Raw milk,01/08/2022,31/08/2022,46.07
2022,Aug,Slovenia,Organic raw milk,01/08/2022,31/08/2022,55.97
2022,Aug,Slovenia,Raw milk,01/08/2022,31/08/2022,47.86
2022,Aug,Slovakia,Organic raw milk,01/08/2022,31/08/2022,46.31
2022,Aug,Slovakia,Raw milk,01/08/2022,31/08/2022,45.28
2022,Aug,Finland,Raw milk,01/08/2022,31/08/2022,50.12
2022,Aug,Sweden,Organic raw milk,01/08/2022,31/08/2022,58.14
2022,Aug,Sweden,Raw milk,01/08/2022,31/08/2022,53.85
2022,Sep,European Union,Raw milk,01/09/2022,30/09/2022,54.5070384
2022,Sep,Belgium,Organic raw milk,01/09/2022,30/09/2022,58.72
2022,Sep,Belgium,Raw milk,01/09/2022,30/09/2022,57.98
2022,Sep,Bulgaria,Organic raw milk,01/09/2022,30/09/2022,54.12
2022,Sep,Bulgaria,Raw milk,01/09/2022,30/09/2022,45.87
2022,Sep,Czechia,Organic raw milk,01/09/2022,30/09/2022,49.7
2022,Sep,Czechia,Raw milk,01/09/2022,30/09/2022,48.63
